left context,original word,right context,word correction,hun correction
vieles,da,sich,hatten,da
,,,,
getan,vieles,da,weil,vieles
,,,,
und,getan,vieles,die,getan
,,,,
schließlich,und,getan,ja,und
,,,,
brach,schließlich,und,nicht,schließlich
,,,,
kurz,brach,schließlich,wussten,brach
,,,,
danach,kurz,brach,wohin,kurz
,,,,
Krieg,danach,kurz,Wilde,danach
,,,,
aus,Krieg,danach,Fremdsprache,Krieg
,,,,
Alles,aus,Krieg,für,aus
,,,,
war,Alles,aus,mich,Alles
,,,,
vorbei,war,Alles,der,war
,,,,
Keine,vorbei,war,DDR-Slang,vorbei
,,,,
Kindheit,Keine,vorbei,~,Keine
,,,,
kein,Kindheit,Keine,~,Kindheit
,,,,
Zuhause,kein,Kindheit,~,kein
,,,,
geschweige,Zuhause,kein,~,Zuhause
,,,,
was,geschweige,Zuhause,~,geschweige
,,,,
g'scheites,was,geschweige,~,was
,,,,
zu,g'scheites,was,~,gescheites
,,,,
essen,zu,g'scheites,~,zu
,,,,
Ich,essen,zu,~,essen
,,,,
suche,Ich,essen,~,Ich
,,,,
noch,suche,Ich,~,suche
,,,,
heute,noch,suche,~,noch
,,,,
nach,heute,noch,~,heute
,,,,
einem,nach,heute,~,nach
,,,,
BMX,einem,nach,~,einem
,,,,
Rad,BMX,einem,~,BOX
,,,,
von,Rad,BMX,~,Rad
,,,,
1989,von,Rad,~,von
,,,,
den,1989,von,~,1989
,,,,
ich,den,1989,~,den
,,,,
gehabt,ich,den,~,ich
,,,,
habe,gehabt,ich,~,gehabt
,,,,
für,habe,gehabt,~,habe
,,,,
meinen,für,habe,~,für
,,,,
jetzt,meinen,für,~,meinen
,,,,
3,jetzt,meinen,~,jetzt
,,,,
Jährigen,3,jetzt,~,3
,,,,
Sohn,Jährigen,3,~,Jährigen
,,,,
damit,Sohn,Jährigen,~,Sohn
,,,,
wir,damit,Sohn,~,damit
,,,,
beide,wir,damit,~,wir
,,,,
später,beide,wir,~,beide
,,,,
mal,später,beide,~,später
,,,,
schöne,mal,später,~,mal
,,,,
Errinnerungen,schöne,mal,~,schöne
,,,,
haben,Errinnerungen,schöne,~,Erinnerungen
,,,,
an,haben,Errinnerungen,~,haben
,,,,
diese,an,haben,~,an
,,,,
Zeit,diese,an,~,diese
,,,,
mein,Zeit,diese,~,Zeit
,,,,
Glück,mein,Zeit,~,mein
,,,,
war,Glück,mein,~,Glück
,,,,
das,war,Glück,~,war
,,,,
ich,das,war,~,das
,,,,
DIE,ich,das,~,ich
,,,,
Chance,DIE,ich,~,DIE
,,,,
in,Chance,DIE,~,Chance
,,,,
Österreich,in,Chance,~,in
,,,,
bekam,Österreich,in,~,Österreich
,,,,
und,bekam,Österreich,~,bekam
,,,,
bin,und,bekam,~,und
,,,,
so,bin,und,~,bin
,,,,
froh,so,bin,~,so
,,,,
und,froh,so,~,froh
,,,,
dankbar,und,froh,~,und
,,,,
darüber,dankbar,und,~,dankbar
,,,,
Fotos,darüber,dankbar,~,darüber
,,,,
hab,Fotos,darüber,~,Fotos
,,,,
ich,hab,Fotos,~,hab
,,,,
leider,ich,hab,~,ich
,,,,
keine,leider,ich,~,leider
,,,,
für,keine,leider,~,keine
,,,,
euch,für,keine,~,für
,,,,
diese,euch,für,~,euch
,,,,
sind,diese,euch,~,diese
,,,,
im,sind,diese,~,sind
,,,,
Kriegsbrand,im,sind,~,im
,,,,
leider,Kriegsbrand,im,~,Kriegsbrand
,,,,
verloren,leider,Kriegsbrand,~,leider
,,,,
für,verloren,leider,~,verloren
,,,,
immer,für,verloren,~,für
,,,,
-,immer,für,~,immer
,,,,
bleibt,Mir,-,Hepp,Mir
,,,,
ein,bleibt,Mir,da,bleibt
,,,,
sehr,ein,bleibt,hat,ein
,,,,
junger,sehr,ein,einer,sehr
,,,,
Mann,junger,sehr,zu,junger
,,,,
etwa,Mann,junger,tief,Mann
,,,,
so,etwa,Mann,ins,etwa
,,,,
um,so,etwa,Glas,so
,,,,
die,um,so,geschaut,um
,,,,
20,die,um,~,die
,,,,
in,20,die,~,20
,,,,
Erinnerung,in,20,~,in
,,,,
der,Erinnerung,in,~,Erinnerung
,,,,
im,der,Erinnerung,~,der
,,,,
November,im,der,~,im
,,,,
89,November,im,~,November
,,,,
ein,89,November,~,89
,,,,
Interview,ein,89,~,ein
,,,,
gab,Interview,ein,~,Interview
,,,,
wie,gab,Interview,~,gab
,,,,
großartig,wie,gab,~,wie
,,,,
es,großartig,wie,~,großartig
,,,,
sei,es,großartig,~,es
,,,,
dass,sei,es,~,sei
,,,,
nunmehr,dass,sei,~,dass
,,,,
die,nunmehr,dass,~,nunmehr
,,,,
DDR,die,nunmehr,~,die
,,,,
Revolution,DDR,die,~,DDR
,,,,
habe,Revolution,DDR,~,Revolution
,,,,
und,habe,Revolution,~,habe
,,,,
das,und,habe,~,und
,,,,
er,das,und,~,das
,,,,
sich,er,das,~,er
,,,,
aber,sich,er,~,sich
,,,,
keine,aber,sich,~,aber
,,,,
Wiedervereinigung,keine,aber,~,keine
,,,,
wünsche,Wiedervereinigung,keine,~,Wiedervereinigung
,,,,
und,wünsche,Wiedervereinigung,~,wünsche
,,,,
er,und,wünsche,~,und
,,,,
sehr,er,und,~,er
,,,,
zuversichtlich,sehr,er,~,sehr
,,,,
sei,zuversichtlich,sehr,~,zuversichtlich
,,,,
dass,sei,zuversichtlich,~,sei
,,,,
nunmehr,dass,sei,~,dass
,,,,
die,nunmehr,dass,~,nunmehr
,,,,
DDR,die,nunmehr,~,die
,,,,
endlich,DDR,die,~,DDR
,,,,
ihrer,endlich,DDR,~,endlich
,,,,
Bestimmung,ihrer,endlich,~,ihrer
,,,,
nachkommen,Bestimmung,ihrer,~,Bestimmung
,,,,
könne,nachkommen,Bestimmung,~,nachkommen
,,,,
einen,könne,nachkommen,~,könne
,,,,
3,einen,könne,~,einen
,,,,
Weg,3,einen,~,3
,,,,
zwischen,Weg,3,~,Weg
,,,,
Sozialismus,zwischen,Weg,~,zwischen
,,,,
und,Sozialismus,zwischen,~,Sozialismus
,,,,
Kapitalismus,und,Sozialismus,~,und
,,,,
zu,Kapitalismus,und,~,Kapitalismus
,,,,
gehen,zu,Kapitalismus,~,zu
,,,,
und,gehen,zu,~,gehen
,,,,
schon,und,gehen,~,und
,,,,
in,schon,und,~,schon
,,,,
wenigen,in,schon,~,in
,,,,
Jahren,wenigen,in,~,wenigen
,,,,
die,Jahren,wenigen,~,Jahren
,,,,
Menschen,die,Jahren,~,die
,,,,
aus,Menschen,die,~,Menschen
,,,,
dem,aus,Menschen,~,aus
,,,,
Westen,dem,aus,~,dem
,,,,
dann,Westen,dem,~,Westen
,,,,
in,dann,Westen,~,dann
,,,,
die,in,dann,~,in
,,,,
DDR,die,in,~,die
,,,,
auswandern,DDR,die,~,DDR
,,,,
würden,auswandern,DDR,~,auswandern
,,,,
Er,würden,auswandern,~,würden
,,,,
hatte,Er,würden,~,Er
,,,,
die,hatte,Er,~,hatte
,,,,
damals,die,hatte,~,die
,,,,
üblich,damals,die,~,damals
,,,,
runden,üblich,damals,~,üblich
,,,,
John,runden,üblich,~,runden
,,,,
Lennon,John,runden,~,John
,,,,
Brillen,Lennon,John,~,Lennon
,,,,
und,Brillen,Lennon,~,Brillen
,,,,
wirkte,und,Brillen,~,und
,,,,
recht,wirkte,und,~,wirkte
,,,,
intellektuell,recht,wirkte,~,recht
,,,,
Was,intellektuell,recht,~,intellektuell
,,,,
wohl,Was,intellektuell,~,Was
,,,,
aus,wohl,Was,~,wohl
,,,,
ihm,aus,wohl,~,aus
,,,,
geworden,ihm,aus,~,ihm
,,,,
ist,geworden,ihm,~,geworden
,,,,
Er,ist,geworden,~,ist
,,,,
hat,Er,ist,~,Er
,,,,
mich,hat,Er,~,hat
,,,,
mit,mich,hat,~,mich
,,,,
irgendwie,mit,mich,~,mit
,,,,
beeindruckt,irgendwie,mit,~,irgendwie
,,,,
-,beeindruckt,irgendwie,~,beeindruckt
,,,,
hatte,Ich,-,Das,Ich
,,,,
einen,hatte,Ich,kann,hatte
,,,,
Onkel,einen,hatte,man,einen
,,,,
in,Onkel,einen,nicht,Onkel
,,,,
West,in,Onkel,allein,in
,,,,
Berlin,West,in,auf,West
,,,,
der,Berlin,West,Putin,Berlin
,,,,
wohnte,der,Berlin,reduzieren,der
,,,,
an,wohnte,der,Er,wohnte
,,,,
einer,an,wohnte,hat,an
,,,,
ruhigen,einer,an,in,einer
,,,,
Strasse,ruhigen,einer,der,ruhigen
,,,,
in,Strasse,ruhigen,russischen,Straße
,,,,
Lichterfeld,in,Strasse,Bevölkerung,in
,,,,
Als,Lichterfeld,in,wenn,Lichterfelde
,,,,
die,Als,Lichterfeld,nicht,Als
,,,,
fiel,Mauer,die,Mehrheit,Mauer
,,,,
war,fiel,Mauer,dann,fiel
,,,,
seine,war,fiel,zumindest,war
,,,,
einzige,seine,war,genug,seine
,,,,
Sorge,einzige,seine,Rückhalt,einzige
,,,,
ob,Sorge,einzige,um,Sorge
,,,,
nicht,ob,Sorge,den,ob
,,,,
jetzt,nicht,ob,Kurs,nicht
,,,,
seine,jetzt,nicht,durchzuziehen,jetzt
,,,,
Ruhe,seine,jetzt,~,seine
,,,,
dahin,Ruhe,seine,~,Ruhe
,,,,
sei,dahin,Ruhe,~,dahin
,,,,
-,sei,dahin,~,sei
,,,,
von,-,sei,~,-
,,,,
wegen,von,-,~,von
,,,,
Durchzugsstrasse,wegen,von,~,wegen
,,,,
und,Durchzugsstrasse,wegen,~,Durchzugsstarke
,,,,
so,und,Durchzugsstrasse,~,und
,,,,
Die,so,und,~,so
,,,,
kommen,Die,so,~,Die
,,,,
ja,kommen,Die,~,kommen
,,,,
nur,ja,kommen,~,ja
,,,,
wegen,nur,ja,~,nur
,,,,
der,wegen,nur,~,wegen
,,,,
D,der,wegen,~,der
,,,,
Mark,D,der,~,D
,,,,
meinte,Mark,D,~,Mark
,,,,
er,meinte,Mark,~,meinte
,,,,
verkaufte,er,meinte,~,er
,,,,
sein,verkaufte,er,~,verkaufte
,,,,
Haus,sein,verkaufte,~,sein
,,,,
und,Haus,sein,~,Haus
,,,,
zog,und,Haus,~,und
,,,,
nach,zog,und,~,zog
,,,,
Bayern,nach,zog,~,nach
,,,,
Dort,Bayern,nach,~,Bayern
,,,,
starb,Dort,Bayern,~,Dort
,,,,
er,starb,Dort,~,starb
,,,,
dann,er,starb,~,er
,,,,
vereinsamt,dann,er,~,dann
,,,,
aber,vereinsamt,dann,~,vereinsamt
,,,,
ruhig,aber,vereinsamt,~,aber
,,,,
Und,ruhig,aber,~,ruhig
,,,,
vererbt,Und,ruhig,~,Und
,,,,
hat,vererbt,Und,~,vererbt
,,,,
er,hat,vererbt,~,hat
,,,,
mir,er,hat,~,er
,,,,
auch,mir,er,~,mir
,,,,
nichts,auch,mir,~,auch
,,,,
-,nichts,auch,~,nichts
,,,,
wär,Wie,-,tja,Wie
,,,,
es,wär,Wie,da,wäre
,,,,
mit,es,wär,waren,es
,,,,
einem,mit,es,Sie,mit
,,,,
verspäteten,einem,mit,tatsächlich,einem
,,,,
Blog,verspäteten,einem,zur,verspäteten
,,,,
quasi,Blog,verspäteten,falschen,Blog
,,,,
1985-1995,quasi,Blog,Zeit,quasi
,,,,
oder,1985-1995,quasi,weg,1985-1995
,,,,
so,oder,1985-1995,Ich,oder
,,,,
Würd,so,oder,war,so
,,,,
ich,Würd,so,selten,Würde
,,,,
gerne,ich,Würd,so,ich
,,,,
lesen,gerne,ich,glücklich,gerne
,,,,
was,lesen,gerne,Und,lesen
,,,,
da,was,lesen,NIE,was
,,,,
damals,da,was,wieder,da
,,,,
noch,damals,da,seither,damals
,,,,
so,noch,damals,hat,noch
,,,,
alles,so,noch,die,so
,,,,
passiert,alles,so,Politik,alles
,,,,
ist,passiert,alles,dazu,passiert
,,,,
-,ist,passiert,beigetragen,ist
,,,,
war,und,-,Wahrscheinlich,und
,,,,
mit,war,und,eh,war
,,,,
meinem,mit,war,besser,mit
,,,,
Sohn,meinem,mit,so,meinem
,,,,
schwanger,Sohn,meinem,Lieber,Sohn
,,,,
D,schwanger,Sohn,Zeit,schwanger
,,,,
h,D,schwanger,lassen,D
,,,,
zu,h,D,und,h
,,,,
der,zu,h,gescheit,zu
,,,,
allgemeinen,der,zu,machen,der
,,,,
Aufregung,allgemeinen,der,~,allgemeinen
,,,,
kam,Aufregung,allgemeinen,~,Aufregung
,,,,
noch,kam,Aufregung,~,kam
,,,,
meine,noch,kam,~,noch
,,,,
persönliche,meine,noch,~,meine
,,,,
dazu,persönliche,meine,~,persönliche
,,,,
Wie,dazu,persönliche,~,dazu
,,,,
es,Wie,dazu,~,Wie
,,,,
hieß,es,Wie,~,es
,,,,
dass,hieß,es,~,hieß
,,,,
die,dass,hieß,~,dass
,,,,
Mauer,die,dass,~,die
,,,,
tatsächlich,Mauer,die,~,Mauer
,,,,
gefallen,tatsächlich,Mauer,~,tatsächlich
,,,,
sei,gefallen,tatsächlich,~,gefallen
,,,,
war,sei,gefallen,~,sei
,,,,
so,war,sei,~,war
,,,,
ein,so,war,~,so
,,,,
Gefühl,ein,so,~,ein
,,,,
Jetzt,Gefühl,ein,~,Gefühl
,,,,
ist,Jetzt,Gefühl,~,Jetzt
,,,,
ein,ist,Jetzt,~,ist
,,,,
Wunder,ein,ist,~,ein
,,,,
geschehen,Wunder,ein,~,Wunder
,,,,
in,geschehen,Wunder,~,geschehen
,,,,
der,in,geschehen,~,in
,,,,
Luft-,der,in,~,der
,,,,
es,Luft-,der,~,Luft-
,,,,
war,es,Luft-,~,es
,,,,
einfach,war,es,~,war
,,,,
unglaublich,einfach,war,~,einfach
,,,,
Ich,unglaublich,einfach,~,unglaublich
,,,,
glaube,Ich,unglaublich,~,Ich
,,,,
mich,glaube,Ich,~,glaube
,,,,
erinnern,mich,glaube,~,mich
,,,,
zu,erinnern,mich,~,erinnern
,,,,
können,zu,erinnern,~,zu
,,,,
dass,können,zu,~,können
,,,,
ich,dass,können,~,dass
,,,,
vor,ich,dass,~,ich
,,,,
Freude,vor,ich,~,vor
,,,,
geweint,Freude,vor,~,Freude
,,,,
habe-,geweint,Freude,~,geweint
,,,,
und,habe-,geweint,~,habe
,,,,
ich,und,habe-,~,und
,,,,
war,ich,und,~,ich
,,,,
nicht,war,ich,~,war
,,,,
die,nicht,war,~,nicht
,,,,
Einzige,die,nicht,~,die
,,,,
Heute,Einzige,die,~,Einzige
,,,,
kenne,Heute,Einzige,~,Heute
,,,,
ich,kenne,Heute,~,kenne
,,,,
viele,ich,kenne,~,ich
,,,,
Menschen,viele,ich,~,viele
,,,,
aus,Menschen,viele,~,Menschen
,,,,
einstigen,aus,Menschen,~,aus
,,,,
Ostblockländern,einstigen,aus,~,einstigen
,,,,
die,Ostblockländern,einstigen,~,Ostblockländern
,,,,
sich,die,Ostblockländern,~,die
,,,,
die,sich,die,~,sich
,,,,
früheren,die,sich,~,die
,,,,
Verhältnisse,früheren,die,~,früheren
,,,,
zurückwünschen-,Verhältnisse,früheren,~,Verhältnisse
,,,,
auf,zurückwünschen-,Verhältnisse,~,zurückwünschen
,,,,
den,auf,zurückwünschen-,~,auf
,,,,
Jubel,den,auf,~,den
,,,,
folgte,Jubel,den,~,Jubel
,,,,
bald,folgte,Jubel,~,folgte
,,,,
die,bald,folgte,~,bald
,,,,
Ernüchterung,die,bald,~,die
,,,,
An,Ernüchterung,die,~,Ernüchterung
,,,,
mein,An,Ernüchterung,~,An
,,,,
privates,mein,An,~,mein
,,,,
Wunder,privates,mein,~,privates
,,,,
hingegen-die,Wunder,privates,~,Wunder
,,,,
Geburt,hingegen-die,Wunder,~,hingegen-die
,,,,
meines,Geburt,hingegen-die,~,Geburt
,,,,
Sohnes,meines,Geburt,~,meines
,,,,
4,Sohnes,meines,~,Sohnes
,,,,
Monate,4,Sohnes,~,4
,,,,
später-,Monate,4,~,Monate
,,,,
denke,später-,Monate,~,später
,,,,
ich,denke,später-,~,denke
,,,,
noch,ich,denke,~,ich
,,,,
immer,noch,ich,~,noch
,,,,
mit,immer,noch,~,immer
,,,,
großer,mit,immer,~,mit
,,,,
Freude,großer,mit,~,großer
,,,,
und,Freude,großer,~,Freude
,,,,
Dankbarkeit,und,Freude,~,und
,,,,
zurück,Dankbarkeit,und,~,Dankbarkeit
,,,,
-,zurück,Dankbarkeit,~,zurück
,,,,
ned,goa,-,schön,Goa
,,,,
-,ned,goa,Bis,den
,,,,
~,~,~,zu,~
,,,,
~,~,~,jenem,~
,,,,
~,~,~,Tag,~
,,,,
~,~,~,als,~
,,,,
~,~,~,die,~
,,,,
~,~,~,Trabis,~
,,,,
~,~,~,die,~
,,,,
~,~,~,Mariahilferstraße,~
,,,,
~,~,~,verstopft,~
,,,,
~,~,~,haben,~
,,,,
~,~,~,mit,~
,,,,
~,~,~,den,~
,,,,
~,~,~,Waschmaschinen,~
,,,,
~,~,~,am,~
,,,,
~,~,~,Dach,~
,,,,
Maturareise,Natura,-,https,Natura
,,,,
Interrail,Maturareise,Natura,//www,Matura reise
,,,,
durch,Interrail,Maturareise,Titanic,Interrailkarte
,,,,
Europa,durch,Interrail,Shop,durch
,,,,
Studienbeginn,Europa,durch,jpg,Europa
,,,,
was,Studienbeginn,Europa,~,Studienbeginn
,,,,
für,was,Studienbeginn,~,was
,,,,
ein,für,was,~,für
,,,,
Jahr,ein,für,~,ein
,,,,
-,Jahr,ein,~,Jahr
,,,,
sofia,nachtrag,-,der,Nachtrag
,,,,
wir,sofia,nachtrag,selbe,Sofia
,,,,
drehen,wir,sofia,Horror,wir
,,,,
in,drehen,wir,wie,drehen
,,,,
einem,in,drehen,heuer,in
,,,,
park,einem,in,Danke,einem
,,,,
ca,park,einem,Nicht,park
,,,,
20,ca,park,nur,ca.
,,,,
menschen,20,ca,deshalb,20
,,,,
stehen,menschen,20,ist,Menschen
,,,,
aufgeregt,stehen,menschen,der,stehen
,,,,
und,aufgeregt,stehen,Sommer,aufgeregt
,,,,
aufgelöst,und,aufgeregt,verschissen,und
,,,,
beisammen,aufgelöst,und,~,aufgelöst
,,,,
und,beisammen,aufgelöst,~,beisammen
,,,,
diskutieren,und,beisammen,~,und
,,,,
vorher,diskutieren,und,~,diskutieren
,,,,
versammlungsverbot,vorher,diskutieren,~,vorher
,,,,
der,versammlungsverbot,vorher,~,Versammlungsverbot
,,,,
fritz,der,versammlungsverbot,~,der
,,,,
orter,fritz,der,~,Fritz
,,,,
interviewte,orter,fritz,~,order
,,,,
und,interviewte,orter,~,interviewte
,,,,
so,und,interviewte,~,und
,,,,
wie,so,und,~,so
,,,,
er,wie,so,~,wie
,,,,
das,er,wie,~,er
,,,,
machte,das,er,~,das
,,,,
erhielt,machte,das,~,machte
,,,,
er,erhielt,machte,~,erhielt
,,,,
intellektuelle,er,erhielt,~,er
,,,,
und,intellektuelle,er,~,intellektuelle
,,,,
lange,und,intellektuelle,~,und
,,,,
antworten,lange,und,~,lange
,,,,
wir,antworten,lange,~,antworten
,,,,
brauchten,wir,antworten,~,wir
,,,,
das,brauchten,wir,~,brauchten
,,,,
für,das,brauchten,~,das
,,,,
den,für,das,~,für
,,,,
auslandsreport,den,für,~,den
,,,,
gleichzeitig,auslandsreport,den,~,Auslandsreport
,,,,
sollten,gleichzeitig,auslandsreport,~,gleichzeitig
,,,,
wir,sollten,gleichzeitig,~,sollten
,,,,
der,wir,sollten,~,wir
,,,,
taggleichen,der,wir,~,der
,,,,
zib,taggleichen,der,~,tagesgleichen
,,,,
was,zib,taggleichen,~,zig
,,,,
liefern,was,zib,~,was
,,,,
ich,liefern,was,~,liefern
,,,,
machte,ich,liefern,~,ich
,,,,
den,machte,ich,~,machte
,,,,
fritz,den,machte,~,den
,,,,
3,fritz,den,~,Fritz
,,,,
x,3,fritz,~,3
,,,,
auf,x,3,~,x
,,,,
eine,auf,x,~,auf
,,,,
total,eine,auf,~,eine
,,,,
aufgelöste,total,eine,~,total
,,,,
kleine,aufgelöste,total,~,aufgelöste
,,,,
total,kleine,aufgelöste,~,kleine
,,,,
herzige,total,kleine,~,total
,,,,
frau,herzige,total,~,herzige
,,,,
aufmerksam,frau,herzige,~,Frau
,,,,
er,aufmerksam,frau,~,aufmerksam
,,,,
wollte,er,aufmerksam,~,er
,,,,
nicht,wollte,er,~,wollte
,,,,
endlich,nicht,wollte,~,nicht
,,,,
doch,endlich,nicht,~,endlich
,,,,
er,doch,endlich,~,doch
,,,,
fragte,er,doch,~,er
,,,,
sie,fragte,er,~,fragte
,,,,
wie,sie,fragte,~,sie
,,,,
sie,wie,sie,~,wie
,,,,
sich,sie,wie,~,sie
,,,,
jetzt,sich,sie,~,sich
,,,,
die,jetzt,sich,~,jetzt
,,,,
demokratie,die,jetzt,~,die
,,,,
vorstelle,demokratie,die,~,Demokratie
,,,,
sie,vorstelle,demokratie,~,vorstelle
,,,,
stand,sie,vorstelle,~,sie
,,,,
nur,stand,sie,~,stand
,,,,
da,nur,stand,~,nur
,,,,
und,da,nur,~,da
,,,,
leuchtete,und,da,~,und
,,,,
mit,leuchtete,und,~,leuchtete
,,,,
den,mit,leuchtete,~,mit
,,,,
augen,den,mit,~,den
,,,,
und,augen,den,~,Augen
,,,,
sagte,und,augen,~,und
,,,,
demokratie,sagte,und,~,sagte
,,,,
ja,demokratie,sagte,~,Demokratie
,,,,
dasselbe,ja,demokratie,~,ja
,,,,
mit,dasselbe,ja,~,dasselbe
,,,,
2,mit,dasselbe,~,mit
,,,,
weiteren,2,mit,~,2
,,,,
fragen,weiteren,2,~,weiteren
,,,,
zu,fragen,weiteren,~,fragen
,,,,
freiheit,zu,fragen,~,zu
,,,,
und,freiheit,zu,~,Freiheit
,,,,
zukunft,und,freiheit,~,und
,,,,
es,zukunft,und,~,Zukunft
,,,,
war,es,zukunft,~,es
,,,,
köstlich,war,es,~,war
,,,,
das,köstlich,war,~,köstlich
,,,,
überspielten,das,köstlich,~,das
,,,,
wir,überspielten,das,~,überspielten
,,,,
nach,wir,überspielten,~,wir
,,,,
wien,nach,wir,~,nach
,,,,
da,wien,nach,~,wein
,,,,
schrieb,da,wien,~,da
,,,,
ich,schrieb,da,~,schrieb
,,,,
fernsehgeschichte,ich,schrieb,~,ich
,,,,
-,fernsehgeschichte,ich,~,Fernsehgeschichte
,,,,
bleibet,Wo,-,die,Wo
,,,,
denn,bleibet,Wo,schimpfenden,bleibe
,,,,
nun,denn,bleibet,Taler,denn
,,,,
der,nun,denn,in,nun
,,,,
Immo-Newsletter,der,nun,den,der
,,,,
des,Immo-Newsletter,der,ersten,Imme-Newsletter
,,,,
Standard,des,Immo-Newsletter,Jahren,des
,,,,
-,Standard,des,nach,Standard
,,,,
Immo,-,Standard,dem,-
,,,,
ein,Immo,-,Mauerfall,Imme
,,,,
Thema,ein,Immo,in,ein
,,,,
das,Thema,ein,Berlin,Thema
,,,,
fast,das,Thema,Herrlich,das
,,,,
jeden,fast,das,Die,fast
,,,,
bewegt,jeden,fast,haben,jeden
,,,,
der,bewegt,jeden,vielleicht,bewegt
,,,,
schon,der,bewegt,gematschter,der
,,,,
wohnt,schon,der,~,schon
,,,,
und,wohnt,schon,~,wohnt
,,,,
nicht,und,wohnt,~,und
,,,,
nur,nicht,und,~,nicht
,,,,
lebt,nur,nicht,~,nur
,,,,
und,lebt,nur,~,lebt
,,,,
das,und,lebt,~,und
,,,,
sogar,das,und,~,das
,,,,
den,sogar,das,~,sogar
,,,,
Kurier,den,sogar,~,den
,,,,
zur,Kurier,den,~,Kurier
,,,,
Schaffung,zur,Kurier,~,zur
,,,,
seines,Schaffung,zur,~,Schaffung
,,,,
zumindest,seines,Schaffung,~,seines
,,,,
in,zumindest,seines,~,zumindest
,,,,
der,in,zumindest,~,in
,,,,
Vor-web-Ära,der,in,~,der
,,,,
erfolgreichen,Vor-web-Ära,der,~,Vor-web-Ära
,,,,
ImmoBuch´s,erfolgreichen,Vor-web-Ära,~,erfolgreichen
,,,,
veranlasste,ImmoBuch´s,erfolgreichen,~,Modembuchse
,,,,
Immobilienthemen,veranlasste,ImmoBuch´s,~,veranlasste
,,,,
sind,Immobilienthemen,veranlasste,~,Immobilienthemen
,,,,
Lesestoff,sind,Immobilienthemen,~,sind
,,,,
für,Lesestoff,sind,~,Lesestoff
,,,,
viele,für,Lesestoff,~,für
,,,,
und,viele,für,~,viele
,,,,
dankenswerterweise,und,viele,~,und
,,,,
auch,dankenswerterweise,und,~,dankenswerterweise
,,,,
noch,auch,dankenswerterweise,~,auch
,,,,
gut,noch,auch,~,noch
,,,,
aufbereitet,gut,noch,~,gut
,,,,
im,aufbereitet,gut,~,aufbereitet
,,,,
onlineStandard,im,aufbereitet,~,im
,,,,
also,onlineStandard,im,~,online Standard
,,,,
wo,also,onlineStandard,~,also
,,,,
bleibt,wo,also,~,wo
,,,,
er,bleibt,wo,~,bleibt
,,,,
nun,er,bleibt,~,er
,,,,
-,nun,er,~,nun
,,,,
Metropoliten,den,-,genau,den
,,,,
und,Metropoliten,den,ich,Metropoliten
,,,,
Erzbischof,und,Metropoliten,hab,und
,,,,
der,Erzbischof,und,mich,Erzbischof
,,,,
Erzdiözese,der,Erzbischof,über,der
,,,,
Wien,Erzdiözese,der,jede,Erzdiözese
,,,,
Seine,Wien,Erzdiözese,positive,Wien
,,,,
Eminenz,Seine,Wien,Nachricht,Seine
,,,,
Hans,Eminenz,Seine,gefreut,Eminenz
,,,,
Hermann,Hans,Eminenz,wie,Hans
,,,,
Kardinal,Hermann,Hans,ein,Hermann
,,,,
Groer,Kardinal,Hermann,Schneekönig,Kardinal
,,,,
zu,Groer,Kardinal,das,Grober
,,,,
ihrem,zu,Groer,ging,zu
,,,,
Vorsitzenden,ihrem,zu,ja,ihrem
,,,,
erwählt,Vorsitzenden,ihrem,wochen-,Vorsitzenden
,,,,
hat,erwählt,Vorsitzenden,wenn,erwählt
,,,,
in,hat,erwählt,nicht,hat
,,,,
guter,in,hat,monatelang,in
,,,,
Erinnerung,guter,in,Und,guter
,,,,
-,Erinnerung,guter,immer,Erinnerung
,,,,
~,~,~,auch,~
,,,,
~,~,~,total,~
,,,,
~,~,~,die,~
,,,,
~,~,~,Angst,~
,,,,
~,~,~,dass,~
,,,,
~,~,~,mal,~
,,,,
~,~,~,irgendwas,~
,,,,
~,~,~,schiefgeht,~
,,,,
~,~,~,Dass,~
,,,,
~,~,~,eine,~
,,,,
~,~,~,Regierung,~
,,,,
~,~,~,Truppen,~
,,,,
~,~,~,schickt,~
,,,,
~,~,~,oder,~
,,,,
~,~,~,ein,~
,,,,
~,~,~,Grenzer,~
,,,,
~,~,~,zu,~
,,,,
~,~,~,ballern,~
,,,,
~,~,~,anfängt,~
,,,,
~,~,~,etc.,~
,,,,
~,~,~,etc.,~
,,,,
~,~,~,Das,~
,,,,
~,~,~,war,~
,,,,
~,~,~,ja,~
,,,,
~,~,~,immer,~
,,,,
~,~,~,alles,~
,,,,
~,~,~,hart,~
,,,,
~,~,~,an,~
,,,,
~,~,~,der,~
,,,,
~,~,~,Grenze,~
,,,,
~,~,~,Und,~
,,,,
~,~,~,immer,~
,,,,
~,~,~,wieder,~
,,,,
~,~,~,ging,~
,,,,
~,~,~,alles,~
,,,,
~,~,~,gut,~
,,,,
~,~,~,Rumänien,~
,,,,
~,~,~,war,~
,,,,
~,~,~,dann,~
,,,,
~,~,~,das,~
,,,,
~,~,~,böse,~
,,,,
~,~,~,Ende,~
,,,,
~,~,~,des,~
,,,,
~,~,~,Märchens,~
,,,,
~,~,~,Freude,~
,,,,
~,~,~,Freude,~
,,,,
~,~,~,Freude,~
,,,,
mit,Meistens,-,Den,Meistens
,,,,
dem,mit,Meistens,Mauerfall,mit
,,,,
Ohr,dem,mit,verfolgte,dem
